FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,WIFI_HOLD_AT,PET_POSBL_AT,PRKPLCE_EXST_AT,MEE_SLT_AT,LAST_UPDT_DE
K스크린,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,749 번지,동일로,1374,37.65130926,127.0617569,1756,서울특별시 노원구 동일로 1374,서울특별시 노원구 상계동 749 미산빌딩,029517800,,N,N,N,N,20221104
비숍클라이밍,레저/체육/공원,지역체육시설,클라이밍,서울특별시,노원구,상계동,,730-5 번지,동일로,1393,37.65294652,127.0605503,1762,서울특별시 노원구 동일로 1393,서울특별시 노원구 상계동 730-5 일신프라자,029360515,http://www.instagram.com/b_shop_climbing,Y,N,Y,N,20221104
비숍클라이밍,레저/체육/공원,지역체육시설,클라이밍,서울특별시,노원구,상계동,,730-5 번지,동일로,1393,37.65294652,127.0605503,1762,서울특별시 노원구 동일로 1393,서울특별시 노원구 상계동 730-5 일신프라자,029360515,http://www.instagram.com/b_shop_climbing,N,N,Y,N,20221104
마들탁구,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,964-5 번지,동일로,1598,37.67105614,127.0563999,1631,서울특별시 노원구 동일로 1598,서울특별시 노원구 상계동 964-5 부흥빌딩,029351553,,Y,N,Y,N,20221104
마들탁구,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,964-5 번지,동일로,1598,37.67105614,127.0563999,1631,서울특별시 노원구 동일로 1598,서울특별시 노원구 상계동 964-5 부흥빌딩,029351553,,N,N,N,N,20221104
태릉스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,공릉동,,670-20 번지,동일로,986,37.6182161,127.075912,1849,서울특별시 노원구 동일로 986,서울특별시 노원구 공릉동 670-20 노원 프레미어스 엠코,029757111,,Y,N,Y,Y,20221104
태릉스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,공릉동,,670-20 번지,동일로,986,37.6182161,127.075912,1849,서울특별시 노원구 동일로 986,서울특별시 노원구 공릉동 670-20 노원 프레미어스 엠코,029757111,,N,N,N,N,20221104
AFO골프클럽,레저/체육/공원,지역레저시설,실내골프연습장,서울특별시,노원구,공릉동,,404-2 번지,동일로173가길,147,37.62475509,127.0714748,1856,서울특별시 노원구 동일로173가길 147,서울특별시 노원구 공릉동 404-2 동영빌딩,0232960755,,Y,N,Y,N,20221104
AFO골프클럽,레저/체육/공원,지역레저시설,실내골프연습장,서울특별시,노원구,공릉동,,404-2 번지,동일로173가길,147,37.62475509,127.0714748,1856,서울특별시 노원구 동일로173가길 147,서울특별시 노원구 공릉동 404-2 동영빌딩,0232960755,,N,N,N,N,20221104
스파이더스 클라이밍센터,레저/체육/공원,지역체육시설,클라이밍,서울특별시,노원구,공릉동,,633-18 번지,동일로174길,37-8,37.61952005,127.0776507,1849,서울특별시 노원구 동일로174길 37-8,서울특별시 노원구 공릉동 633-18 제일빌딩,027410837,https://cafe.naver.com/spidersclimbing/,Y,N,Y,N,20221104
스파이더스 클라이밍센터,레저/체육/공원,지역체육시설,클라이밍,서울특별시,노원구,공릉동,,633-18 번지,동일로174길,37-8,37.61952005,127.0776507,1849,서울특별시 노원구 동일로174길 37-8,서울특별시 노원구 공릉동 633-18 제일빌딩,027410837,https://cafe.naver.com/spidersclimbing/,N,N,N,N,20221104
카카오 스크린골프 태릉점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,공릉동,,617-18 번지,동일로174길,7,37.61890808,127.0758784,1849,서울특별시 노원구 동일로174길 7,서울특별시 노원구 공릉동 617-18,029710753,,Y,N,Y,Y,20221104
카카오 스크린골프 태릉점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,공릉동,,617-18 번지,동일로174길,7,37.61890808,127.0758784,1849,서울특별시 노원구 동일로174길 7,서울특별시 노원구 공릉동 617-18,029710753,,N,N,N,N,20221104
도깨비탁구장,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,공릉동,,581-2 번지,동일로178길,15,37.62146111,127.0753349,1848,서울특별시 노원구 동일로178길 15,서울특별시 노원구 공릉동 581-2 동성상운주식회사,,,Y,N,Y,N,20221104
도깨비탁구장,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,공릉동,,581-2 번지,동일로178길,15,37.62146111,127.0753349,1848,서울특별시 노원구 동일로178길 15,서울특별시 노원구 공릉동 581-2 동성상운주식회사,,,N,N,N,N,20221104
공릉볼링센타,레저/체육/공원,지역체육시설,볼링장,서울특별시,노원구,공릉동,,581-1 번지,동일로180길,14,37.62195341,127.0753261,1848,서울특별시 노원구 동일로180길 14,서울특별시 노원구 공릉동 581-1 공릉쇼핑센타,029488877,,Y,N,Y,N,20221104
공릉볼링센타,레저/체육/공원,지역체육시설,볼링장,서울특별시,노원구,공릉동,,581-1 번지,동일로180길,14,37.62195341,127.0753261,1848,서울특별시 노원구 동일로180길 14,서울특별시 노원구 공릉동 581-1 공릉쇼핑센타,029488877,,N,N,N,N,20221104
볼러스레인,레저/체육/공원,지역체육시설,볼링장,서울특별시,노원구,중계동,,509-1 번지,동일로204가길,34,37.64074954,127.0681722,1783,서울특별시 노원구 동일로204가길 34,서울특별시 노원구 중계동 509-1 씨앤미복합빌딩,029710923,,Y,N,Y,N,20221104
볼러스레인,레저/체육/공원,지역체육시설,볼링장,서울특별시,노원구,중계동,,509-1 번지,동일로204가길,34,37.64074954,127.0681722,1783,서울특별시 노원구 동일로204가길 34,서울특별시 노원구 중계동 509-1 씨앤미복합빌딩,029710923,,N,N,N,N,20221104
한국성서대학교 농구장,레저/체육/공원,지역체육시설,농구장,서울특별시,노원구,상계동,,205-4 번지,동일로214길,32,37.64896177,127.063751,1757,서울특별시 노원구 동일로214길 32,서울특별시 노원구 상계동 205-4 한국성서대학교,029505401,,N,N,Y,Y,20221104
한국성서대학교 농구장,레저/체육/공원,지역체육시설,농구장,서울특별시,노원구,상계동,,205-4 번지,동일로214길,32,37.64896177,127.063751,1757,서울특별시 노원구 동일로214길 32,서울특별시 노원구 상계동 205-4 한국성서대학교,029505401,,N,N,N,N,20221104
