COURSE_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,NMPR_CO,EDC_CT,BASE_TIME,TIME_PER_CT,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADDR,COURSE_EDC_CRSE_CN,LAST_UPDT_DE
회사실무영어 이제 걱정없어요. 비지니스 영어 전문 수업,여가활동,클래스,1:1 영어,1,280000,8,35000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"강점 1. 비지니스현장에서 실질적인 영어 회화에서 어려움을 느끼시거나,영문 이메일과 REPORT와 PT/ Script 작성시에, 항상 쓰는표현만 사용하셔서,더 멋지고 비지니스적인 완벽한 영어 표현을 원하시는 분들에게 참 도움을 주는수업 !!2. 큰 어려움없이 영어 회화와 어휘, writing 실력을 탄탄하고 폭넓게 master 해주는 수업!",20221130
글루텐프리 생화케이크 만들기,여가활동,클래스,1:1 영어,3,120000,3,40000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"(클래스 소개)너무 특별한 선물이 될 수 있는 플라워케이크를 베이킹부터 꽃디자인, 포장까지의 전 단계를 배워보는수업입니다.파티쉐와 플로리스트 두 명이 함께 진행하는 전문적인 원데이 클래스입니다 미듐 사이즈 생화케이크쌀가루로 만들어 글루텐프리입니다1인 한 개씩 만들어볼 수 있어요!",20221130
1:1/그룹 영어회화 6주안에 영어회화 살리기 프로젝트,여가활동,클래스,1:1 영어,5,264000,12,22000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"제 스터디는 유학/워킹홀리데이를 준비하시는 분은 물론, 영어를 친구로 만들고자 하는 모든 분들을 환영합니다.레벨은 초급~중급자 분들을 위한 스터디입니다!초급-평소에 영어로 내 의견을 표현할 수는 있지만 문법적 오류가 있고 때때로 단어가 잘 생각나지 않으시는 분-원어민 말의 30~40퍼센트 알아들으시는 분-책에서 배우는 것들 보다 네이티브들이 쓰는 일상표현을 배우고 싶으신 분중급-평소에 영어로 내 의견을 표현할 수는 있지만 조금의 문법적 오류가 있고 복합적 문장을 유창하게 말하기 힘드신분-원어민 말의 60~80퍼센트 알아들으시는 분-영어공인 성적은 꽤 높지만 회화에 조금 어려움을 느끼시는 분-책에서 배우는 것들 보다 네이티브들이 쓰는 일상표현을 배우고 싶으신 분다음과 같으신 분들에게는 비추천합니다.-비즈니스식/formal한 영어를 배우고자 하시는 분-오로지 텝스/토익/토플을 준비하시는 분",20221130
"3D Animation Basic 2 / 디즈니, 픽사같은 애니메이션을 만드는 법",여가활동,클래스,3D,1,228000,6,38000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"""수업 목표Key lessons 결과물 중심 1~3가지 - 최대 3줄 무엇을 배울 수 있나요, 무엇을 얻을 수 있나요해당 클래스의 차별점1~3가지 - 최대 3줄: 해당 카테고리의 다른 클래스들과 어떻게 다른가요",20221130
3D 모델링을 이용한 굿즈 만들기,여가활동,클래스,3D,1,32670,3,10890,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"-수업 추천 대상1.귀여운것을 좋아하는 사람2. 3D모델링 과 프린팅에 관심있는사람3. 피규어, 미니어쳐 를 좋아하는사람4. 디지털 제조에 관심이 있으신분- 수업 비추천 대상1.스스로 전문적인 모델링이 가능한분2. 엄청난 기술적인 수업을 기대하는분",20221130
"파이썬, 데이터, 크롤링 무엇이든 물어보세요.",여가활동,클래스,ML,1,178000,2,89000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"1. 딱 2시간 정도만 정말 잘하는 선배 개발자에게 뭐 좀 물어봤으면 좋겠다 싶을 때!2. 꼭 해결해야하는데 눈물이 앞을 가리고... 시간은 없을 때!과제, 특정 단체에 제출 용 코드,불법성을 지니는 프로그램 개발 등 수업 진행하지 않습니다.수업 전 미리 고민하고 계시는 문제를 공유해 주시면, 리서치 후 수업시간에 친절히 설명해 드립니다. 단순히 답만 전달해 드리는 것이 아닌 사고 과정, 접근 방법, 관련 자료 등 함께 공유해 드립니다.",20221130
프로바둑기사도 이기지 못하는 알파고 그 비밀을 파헤치다,여가활동,클래스,ML,5,440000,8,55000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,한게임에서 바둑 AI와 대국을 해 볼 수 있습니다.바둑 AI와 대국에서 승률을 높이는 것이 궁금하시다면 튜터전자책을 읽어보십시오. 인간이 바둑 AI를 이길 수 없다는 통념이 깨어질 것입니다. 그리고 바둑 AI와 대국하는 것이 재미있어질 것이고 바둑실력도 향상될 것입니다.,20221130
딥러닝을 이용한 자연어처리,여가활동,클래스,ML,6,280000,8,35000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,딥러닝을 이용한 자연어처리 이론과 그 기본/배경지식을 설명합니다,20221130
현직자/원데이 프린이프로그래머초보를 위한 첫걸음,여가활동,클래스,ML,6,82500,3,27500,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"프로그래머를 시작허고 싶은 분들- 프로그래머가 되고 싶은데 어떻게 해야할지 모르는 분들- 프로그래머를 직업으로 삼고 싶은데 어떤 분야가 있는지 궁금한 분들- 실제 프로그래머의 삶이 궁금한 분들- 스타트업벤처, 중견기업, 대기업 경험이 궁금한 분등",20221130
마케팅기획 담당자가 알려주는 PPT 디자인제작 노하우,여가활동,클래스,PPT,1,82500,3,27500,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"이런 고민을 해결 하고 싶으시다면?- PPT 디자인할 때 통일성을 주고 싶다- 디자인이 한결같이 예쁘면 좋겠다- 직장 동료, 상사, 클라이언트 등 청중의 취향을 저격하는 팁을 얻고 싶다 이런 점이 궁금하신가요?- 인포그래픽과 텍스트의 조화를 이루는 노하우를 알고 싶다- 애플처럼 텍스트를 깔끔하게 처리하는 방법을 알고 싶다 이런 업무를 하셔야 하나요?- 사업기획/계획, 브랜드 런칭, 경쟁입찰, 사업수주 PPT가 필요하신 분들 제 수업은 가장 기초부터 시작합니다. 디자인에 필요한 소스들을 가져오는 요령부터, 셋팅 등 모두 새롭게 배우실 수 있어요!",20221130
