NAME,TYPE,LOCATION,TAG,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,LAT,LON
PBC캐롬클럽,당구장,서울특별시 성북구 석관동 화랑로,스트레스 해소; 감정 자극,,,,,,,,,,,37.6115128,127.0595792
브로제이짐,헬스/휘트니스,서울특별시 양천구 목동 목동중앙서로,스트레스 해소; 감정 자극,,,,,,,,,,,,
압구정풋살스튜디오,지역축구장,서울특별시 강남구 신사동 압구정로50길,에너지 회복; 스트레스 해소,,,,,,,,,,,37.5273283,127.0379968
GPT골프레슨,실내골프/스크린골프,서울특별시 강북구 수유동 삼양로,에너지 회복; 스트레스 해소,,,,,,,,,,,37.6353867,127.0170277
고핏퍼스널트레이닝,헬스/휘트니스,서울특별시 관악구 신림동 신림로64길,스트레스 해소; 감정 자극,,,,,,,,,,,37.4851775,126.931894
정석당구아카데미,당구장,서울특별시 종로구 낙원동 수표로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5692537,126.9890922
스테이지원장안,헬스/휘트니스,서울특별시 동대문구 장안동 장한로,스트레스 해소; 감정 자극,,,,,,,,,,,,
일루고짐,헬스/휘트니스,서울특별시 금천구 시흥동 금하로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4516854,126.9073247
뉴핏샵,헬스/휘트니스,서울특별시 강서구 마곡동 마곡중앙1로,스트레스 해소; 감정 자극,,,,,,,,,,,,
다이나믹케어,헬스/휘트니스,서울특별시 서초구 서초동 사임당로,스트레스 해소; 감정 자극,,,,,,,,,,,37.489154,127.0172282
바디테일러PT,헬스/휘트니스,서울특별시 동작구 대방동 여의대방로24길,스트레스 해소; 감정 자극,,,,,,,,,,,37.4991202,126.9260829
김현진153GYM,헬스/휘트니스,서울특별시 강동구 천호동 양재대로,스트레스 해소; 감정 자극,,,,,,,,,,,,
연승당구클럽,당구장,서울특별시 강서구 등촌동 공항대로45길,스트레스 해소; 감정 자극,,,,,,,,,,,,
유얼짐,헬스/휘트니스,서울특별시 서초구 서초동 사평대로56길,스트레스 해소; 감정 자극,,,,,,,,,,,,
헬로우키즈스위밍,일반수영장,서울특별시 송파구 문정동 새말로,에너지 회복; 안정감,,,,,,,,,,,37.4808557,127.120103
써밋스크린골프,실내골프/스크린골프,서울특별시 용산구 한강로2가 한강대로,에너지 회복; 스트레스 해소,,,,,,,,,,,37.5287824,126.967623
HM무브먼트,헬스/휘트니스,서울특별시 강서구 마곡동 공항대로,스트레스 해소; 감정 자극,,,,,,,,,,,,
아토즈무브,헬스/휘트니스,서울특별시 강남구 청담동 선릉로152길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5242508,127.0411213
목동PT임펄스핏,헬스/휘트니스,서울특별시 양천구 신정동 오목로,스트레스 해소; 감정 자극,,,,,,,,,,,,
THE겟업,N,서울특별시 강남구 신사동 논현로171길,,,,,,,,,,,,37.5256049,127.0275884
일원스포츠문화센터,스포츠센터,서울특별시 강남구 일원동 영동대로,에너지 회복; 스트레스 해소,,,,,,,,,,,,
더스윙블랙,실내골프/스크린골프,서울특별시 송파구 장지동 위례광장로,에너지 회복; 스트레스 해소,,,,,,,,,,,,
캡틴짐,헬스/휘트니스,서울특별시 강서구 화곡동 화곡로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5421164,126.8424938
COWORKER,헬스/휘트니스,서울특별시 광진구 구의동 광나루로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5449828,127.0880163
와키당구장,당구장,서울특별시 관악구 신림동 호암로26길,스트레스 해소; 감정 자극,,,,,,,,,,,,
칠칠,당구장,서울특별시 종로구 창신동 종로44길,스트레스 해소; 감정 자극,,,,,,,,,,,,
바디다짐,헬스/휘트니스,서울특별시 금천구 독산동 시흥대로115길,스트레스 해소; 감정 자극,,,,,,,,,,,,
닥터포바디퍼스널트레이닝,헬스/휘트니스,서울특별시 강남구 개포동 선릉로4길,스트레스 해소; 감정 자극,,,,,,,,,,,37.4826926,127.0624922
크로스핏라온2,헬스/휘트니스,서울특별시 광진구 중곡동 용마산로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5633231,127.0869713
신길PT,헬스/휘트니스,서울특별시 영등포구 신길동 가마산로,스트레스 해소; 감정 자극,,,,,,,,,,,,
면목휘트니스,헬스/휘트니스,서울특별시 중랑구 면목동 면목로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5816841,127.0886238
3949당구클럽,당구장,서울특별시 노원구 상계동 동일로250길,스트레스 해소; 감정 자극,,,,,,,,,,,,
매일핏,헬스/휘트니스,서울특별시 서초구 반포동 사평대로53길,스트레스 해소; 감정 자극,,,,,,,,,,,,
